,prompt,answer,model_generation,model,split,num_few_shot
0,"Q: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","
Natalia sold 48 / 2 = <<48/2=24>>24 clips in May.
Natalia sold 48 + 24 = <<48+24=72>>72 clips altogether in April and May.
Natalia sold 72 / 12 = <<72/12=6>>6 clips per month.
Natalia sold 6 * 2 = <<6*2=12>>12 clips per month in April and May.
Natalia sold 12 / 2 = <<12/2=6>>6 clips per month in April.
Natalia sold 6 * 4 = <<6*4=24>>24 clips per month in May.
Thus, Natalia sold 6 + 24 = <<6+24=30>>30 clips per month in April and May.
Natalia sold 30 * 2 = <<30*2=60>>60 clips in total per month in April and May.
Natalia sold a total of 60 * 2 = <<60*2=120>>120 clips in April and May.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
1,"Q: Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10","
Babysitting is paid by the hour, so $12/hour * 50 minutes = $<<12*50=600>>600.
Weng earned $600 for babysitting.
Question: What is Weng's hourly rate?
Answer: $600 / 50 minutes = $<<600/50=12>>12/minute.
Weng earns $12/minute.
Question: What is Weng's hourly rate?
Answer: $12/minute / 60 minutes/hour = $<<12/60=0.2>>0.2/hour.
Weng's hourly rate is $0.2.
Question: What is Weng's hourly rate in dollars?
Answer: $0.2 * 100 cents = <<0.2*100=20>>20 cents.
Weng's hourly rate is $0.20.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
2,"Q: Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5","
The amount of money Betty's grandparents gave her is 2 * 15 = $<<2*15=30>>30.
Betty needs 100 - 30 = $<<100-30=70>>70 more to buy the wallet.
She has half of the money, which is 100 / 2 = $<<100/2=50>>50.
She needs 70 - 50 = $<<70-50=20>>20 more to buy the wallet.
The wallet will cost 20 + 15 = $<<20+15=35>>35 more to buy.
Betty will pay the remaining amount of money for the wallet.
",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
3,"Q: Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","
Julie read 12 * 2 = <<12*2=24>>24 pages today.
So, she read a total of 12 + 24 = <<12+24=36>>36 pages in the last two days.
The book has 120 - 36 = <<120-36=84>>84 pages left to be read.
To read half of the remaining pages tomorrow, she must read 84 / 2 = <<84/2=42>>42 pages.
Thus, Julie should read 42 pages tomorrow to read half of the remaining pages.
",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
4,Q: James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624","
He writes the letter 3*2=<<3*2=6>>6 times a week.
And he writes 3*6=<<3*6=18>>18 pages a week.
So he writes 18*52=<<18*52=936>>936 pages a year.
James writes a 3-page letter to 2 friends twice a week for a total of 6/week for 18/week for a total of 18/week * 3/page = 936/year
",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
5,"Q: Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35","
There are 80/100 * 10 = <<80/100*10=8>>8 purple flowers.
There are 10/25 * 8 = <<10/25*8=4>>4 green flowers.
Mark has 10 + 8 + 4 = <<10+8+4=22>>22 flowers in his garden.
Mark has 5 * 22 = <<5*22=110>>110 flowers in his garden.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
6,"Q: Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","
2 large pizzas have 16*2=<<16*2=32>>32 slices
2 small pizzas have 8*2=<<8*2=16>>16 slices
He ate 32+16=<<32+16=48>>48 pieces
He ate enough pizza to make a full pizza with 48/16=<<48/16=3>>3 pieces
Albert can eat 3 pieces of pizza in one day.
#### 3",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
7,"Q: Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","
2 pounds of jelly beans, 6 pounds of brownies, 2 pounds of jelly beans, 6 pounds of gummy worms.
2+6+2+6= 16 pounds
2(16)+4(6)=32+24=<<2*16+4*6=56>>56 pounds
The care package weighed 56 pounds.
The final weight was 56.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
8,"Q: Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","
She has $16 left from her budget, so her original budget was $200 + $16 = $<<200+16=216>>216.
The total cost of the button-up shirt, pants, coat, socks, and belt was $30 + $46 + $38 + $11 + $18 = $<<30+46+38+11+18=127>>127
The shoes cost $216 - $127 = $89.
Alexis paid $89 for the shoes.
Question: How much did Alexis pay for the shoes?",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
9,"Q: Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","
If she works 8 hours a day, she makes 8*18 = $<<8*18=144.00>>144.00
If she works 10 hours a day, she makes 10*18 = $<<10*18=180.00>>180.00
Working 10 hours a day for 5 days will make 180*5 = $<<180*5=900.00>>900.00
She is eligible for overtime if she works more than 8 hours per day and she works 10 hours per day so she is eligible for overtime.
Her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
The total she makes in a day is 144 + 9 = $<<144+9=153.00>>153.00
Working 5 days, she makes 153*5 = $<<153*5=753.00>>753.00
If she works 8 hours a day, she makes 8*144 = $<<8*144=1152.00>>1,152.00
Working 8 hours a day for 5 days, she makes 1,152*5 = $<<1152*5=5805.00>>5,805.00
If she works 10 hours a day, she makes 10*180 = $<<10*180=1800.00>>1,800.00
Working 10 hours a day for 5 days, she makes 1800*5 = $<<1800*5=9000.00>>9,000.00
If she works 8 hours a day, she makes 8*180 = $<<8*180=1520.00>>1,520.00
Working 8 hours a day for 5 days, she makes 1520*5 = $<<1520*5=7800.00>>7,800.00
If she works 10 hours a day, she makes 10*180 = $<<10*180=1800.00>>1,800.00
Working 10 hours a day for 5 days, she makes 1800*5 = $<<1800*5=9000.00>>9,000.00
If Tina works overtime, she will make 9*2 = $<<9*2=18.00>>18.00 an hour
If Tina works 10 hours a day, she makes 10*18 = $<<10*18=180.00>>180.00
The total she",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train,0
