,prompt,answer,model_generation,model,split
0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","
Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 24+48 = <<24+48=72>>72 clips altogether in April and May.
Natalia sold 72/2 = <<72/2=36>>36 clips in April.
Natalia sold 36+24 = <<36+24=60>>60 clips altogether in April and May.
Natalia sold 60/2 = <<60/2=30>>30 clips in April.
Natalia sold 30+24 = <<30+24=54>>54 clips altogether in April and May.
Natalia sold 54/2 = <<54/2=27>>27 clips in April.
Natalia sold 27+24 = <<27+24=51>>51 clips altogether in April and May.
Natalia sold 51/2 = <<51/2=25>>25 clips in May.
Natalia sold 25+24 = <<25+24=49>>49 clips altogether in April and May.
Natalia sold 49/2 = <<49/2=24>>24 clips in April.
Natalia sold 24+24 = <<24+24=48>>48 clips altogether in April and May.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10","
Weng earns $12 an hour for babysitting.
Yesterday, she just did 50 minutes of babysitting.
So, she earned $12 x 50 = $<<12*50=600>>600.
Therefore, she earned $600/12 = $<<600/12=50>>50.
Weng earned $50 for babysitting.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
2,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5","
Betty's grandparents gave her 15*2 = $<<15*2=30>>30.
Betty needs 100-30 = $<<100-30=70>>70 more.
Betty needs 70/2 = $<<70/2=35>>35 more.
Betty needs 35 more.
Betty needs 35.
The total cost of the wallet is 100+35 = $<<100+35=135>>135.
The wallet costs 135.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.
The wallet costs 135 dollars.<<135=135>>135",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
3,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","
Julie read 12 pages yesterday and today read twice as many pages, so she read 12*2 = <<12*2=24>>24 pages today.
Julie has read 120-24 = <<120-24=96>>96 pages.
Julie needs to read 96/2 = <<96/2=48>>48 pages tomorrow.
Julie should read 48 pages tomorrow.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
4,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624","
He writes a total of 3*2=<<3*2=6>>6 pages a week.
So he writes 6*52=<<6*52=312>>312 pages a year.
He writes a total of 2*2=<<2*2=4>>4 pages a week.
So he writes 4*52=<<4*52=208>>208 pages a year.
He writes a total of 4*2=<<4*2=8>>8 pages a week.
So he writes 8*52=<<8*52=416>>416 pages a year.
He writes a total of 8*2=<<8*2=16>>16 pages a week.
So he writes 16*52=<<16*52=832>>832 pages a year.
He writes a total of 16*2=<<16*2=32>>32 pages a week.
So he writes 32*52=<<32*52=1632>>1632 pages a year.
He writes a total of 32*2=<<32*2=64>>64 pages a week.
So he writes 64*52=<<64*52=3264>>3264 pages a year.
He writes a total of 64*2=<<64*2=128>>128 pages a week.
So he writes 128*52=<<128*52=6656>>6656 pages a year.
He writes a total of 128*2=<<128*2=256>>256 pages a week.
So he writes 256*52=<<256*52=13248>>13248 pages a year.
He writes a total of 256*2=<<256*2=512>>512 pages a week.
So he writes 512*52=<<512*52=26208>>26208 pages a year.
He writes a total of 512*2=<<512*2=1024>>1024 pages a week.
So he writes 1024*52=<<1024*52=52256>>52256 pages a year.
He writes a total of 1024*2=<<1024*2=2048>>2048 pages a week.
So he writes 2048*52=<<2048*52=104752>>104752 pages a year.
He writes a total of 2048*2=<<2048*2=4096>>",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
5,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35","
There are 10 * 1.8 = <<10*1.8=18>>18 yellow flowers in the garden.
There are 80/100 * 18 = <<80/100*18=14>>14 purple flowers in the garden.
There are 18/25 * 18 = <<18/25*18=72>>72 green flowers in the garden.
So, Mark has 18 + 14 + 72 = <<18+14+72=100>>100 flowers in his garden.
Mark has 100 flowers in his garden.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
6,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","
He eats 16 slices from the large pizza and 8 slices from the small pizza for a total of 16 + 8 = <<16+8=24>>24 slices.
He eats 2 large pizzas that have 16 slices each so he eats 16*2 = <<16*2=32>>32 slices from the large pizzas.
He eats 2 small pizzas that have 8 slices each so he eats 8*2 = <<8*2=16>>16 slices from the small pizzas.
He eats 32 slices from the large pizzas and 16 slices from the small pizzas for a total of 32+16 = <<32+16=48>>48 slices.
He eats 48 slices in total so he eats 48/4 = <<48/4=12>>12 pieces.
He eats 12 pieces in total so he eats 12/2 = <<12/2=6>>6 pieces.
He eats 6 pieces in total so he eats 6/3 = <<6/3=2>>2 pieces.
He eats 2 pieces in total so he eats 2/1 = <<2/1=2>>2 pieces.
He eats 2 pieces in total so he eats 2/2 = <<2/2=1>>1 piece.
He eats 1 piece in total so he eats 1/1 = 1 piece.
He eats 1 piece in total so he eats 1/2 = <<1/2=0.5>>0.5 pieces.
He eats 0.5 pieces in total so he eats 0.5/1 = 0.5 pieces.
He eats 0.5 pieces in total so he eats 0.5/0.5 = 1 piece.
He eats 1 piece in total so he eats 1/1 = 1 piece.
He eats 1 piece in total so he eats 1/2 = 0.5 pieces.
He eats 0.5 pieces in total so he eats 0.5/0.5 = 1 piece.
He eats 1 piece in total so he eats 1/1 = 1 piece.
He eats 1 piece in total so he eats 1/2 = 0.5 pieces.
He eats 0.5 pieces in total so he eats 0.5/0.5 = 1 piece.
He eats 1 piece in total so he eats 1/1 = 1 piece.
He eats 1 piece in total so he eats",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
7,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","
First find the weight of the jelly beans: 2 pounds * 16 ounces/pound = <<2*16=32>>32 ounces
Then find the weight of the brownies: 2 pounds * 16 ounces/pound = <<2*16=32>>32 ounces
Then find the weight of the gummy worms: 2 pounds * 16 ounces/pound = <<2*16=32>>32 ounces
Then add the weights of the jelly beans, brownies, and gummy worms to find the total weight: 32 ounces + 32 ounces + 32 ounces = <<32+32+32=96>>96 ounces
Then multiply the weight by the number of ounces per pound to find the weight in pounds: 96 ounces * 16 ounces/pound = <<96*16=1440>>1440 ounces
Then divide the weight in pounds by the number of pounds per pound to find the weight in pounds: 1440 ounces / 16 ounces/pound = <<1440/16=90>>90 pounds
Then add the weight of the jelly beans, brownies, and gummy worms to find the final weight: 90 pounds + 32 pounds + 32 pounds = <<90+32+32=124>>124 pounds
Then divide the final weight by the number of pounds per pound to find the weight in pounds: 124 pounds / 16 pounds/pound = <<124/16=7.5>>7.5 pounds
Then add the weight of the jelly beans, brownies, and gummy worms to find the final weight: 7.5 pounds + 32 pounds + 32 pounds = <<7.5+32+32=61>>61 pounds
Then divide the final weight by the number of pounds per pound to find the weight in pounds: 61 pounds / 16 pounds/pound = <<61/16=3.75>>3.75 pounds
Then add the weight of the jelly beans, brownies, and gummy worms to find the final weight: 3.75 pounds + 32 pounds + 32 pounds = <<3.75+32+32=65>>65 pounds
Then divide the final weight by the number of pounds per pound to find the weight in pounds: 65 pounds / 16 pounds/pound = <<65/16=4>>4 pounds
Then add the weight of the jelly beans, brownies, and gummy worms to find the final weight: 4 pounds + 32 pounds + 32 pounds = <<4+32+32=64>>",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
8,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","
Alexis spent $30 + $46 + $38 + $11 + $18 = $<<30+46+38+11+18=119>>119 on clothes.
Alexis spent $119 - $16 = $<<119-16=103>>103 on clothes.
Alexis spent $103 / 5 = $<<103/5=21>>21 on shoes.
Alexis spent $21 + $0 = $21 on shoes.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
9,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","
She makes 18*10=<<18*10=180>>180 dollars per day.
She makes 180*5=<<180*5=900>>900 dollars per week.
She makes 900*4=<<900*4=3600>>3600 dollars per month.
She makes 3600*12=<<3600*12=43200>>43200 dollars per year.
She makes 43200*1.5=<<43200*1.5=61200>>61200 dollars per year.
She makes 61200*1.5=<<61200*1.5=78240>>78240 dollars per year.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
