,prompt,answer,model_generation,model,split
0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","
Natalia sold 48 / 2 = <<48/2=24>>24 clips in May.
So in total Natalia sold 48 + 24 = <<48+24=72>>72 clips.
Natalia sold 72 clips in April and May.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10","
She earned 12 * 50 = $<<12*50=600>>600.
She earned 600 / 60 = $<<600/60=10>>10 per minute.
She earned 10 * 50 = $<<10*50=500>>500.
She earned 500 / 60 = $<<500/60=8.33>>8.33 per minute.
She earned 8.33 * 50 = $<<8.33*50=42>>42 per minute.
She earned 42 * 60 = $<<42*60=2700>>2700.
She earned 2700 / 60 = $<<2700/60=45>>45 per minute.
She earned 45 * 50 = $<<45*50=2250>>2250.
She earned 2250 / 60 = $<<2250/60=37.5>>37.5 per minute.
She earned 37.5 * 50 = $<<37.5*50=1875>>1875.
She earned 1875 / 60 = $<<1875/60=300>>300 per minute.
She earned 300 * 50 = $<<300*50=15000>>15000.
She earned 15000 / 60 = $<<15000/60=250>>250 per minute.
She earned 250 * 50 = $<<250*50=12500>>12500.
She earned 12500 / 60 = $<<12500/60=200>>200 per minute.
She earned 200 * 50 = $<<200*50=10000>>10000.
She earned 10000 / 60 = $<<10000/60=166.67>>166.67 per minute.
She earned 166.67 * 50 = $<<16667*50=83333>>83333.
She earned 83333 / 60 = $<<83333/60=13333>>13333 per minute.
She earned 13333 * 50 = $<<13333*50=66666>>66666.
She earned 66666 / 60 = $<<66666/60=10000>>10000 per minute.
She earned 10000 * 50 = $<<10000*50=50000>>50000.
She earned 50000 / 60 = $<<50000/60=8000>>8000 per minute.
She earned 8000 * 50 = $<<8000*50=400000>>400000.
She earned 400000 / 60",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
2,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5","
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
Betty has 30 + 15 = $<<30+15=45>>45.
She needs 100 - 45 = $<<100-45=55>>55 more.
Betty needs 55 more dollars to buy the wallet.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
3,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","
Julie read 12 * 2 = <<12*2=24>>24 pages today.
Julie has read a total of 12 + 24 = <<12+24=36>>36 pages so far.
There are 120 - 36 = <<120-36=84>>84 pages left to read.
Julie needs to read 84 / 2 = <<84/2=42>>42 pages tomorrow to read half of the remaining pages.
Julie should read 42 pages tomorrow.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
4,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624","
He writes 3*2=<<3*2=6>>6 pages per week.
He writes 52*6=<<52*6=312>>312 pages per year.
James writes 312/3=<<312/3=104>>104 pages per year.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
5,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35","
Purple: 10 * 1.8 = 18 flowers
Green: 25/100 * 10 = 2.5 flowers
Total: 10 + 18 + 2.5 = <<10+18+2.5=30>>30 flowers
Mark has 30 flowers in his garden.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
6,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","
He eats 16 slices on one large pizza and 8 slices on 2 small pizzas for a total of 16+8 = 24 slices.
He eats 24 pieces of pizza.
He eats 1 piece every 24/6 = 4 pieces per hour.
He can eat 8 pieces per hour.
He eats 8*4 = <<8*4=32>>32 pieces in an hour.
He eats 32 pieces in a day.
He eats 32 pieces of pizza.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
7,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","
2 pounds of jelly beans.
2 * 3 pounds of brownies.
2 * 2 pounds of gummy worms.
2 * 2 * 3 * 2 = <<2*2*3*2=24>>24 pounds.
The box weighed 24 pounds.
The box weighed 24 pounds, making it 24/16 = <<24/16=1.5>>1.5 times larger than a standard box of goodies.
The box was 1.5 times larger than a standard box of goodies.
The box was 24/16 = <<24/16=1.5>>1.5 times larger than a standard box of goodies.
The box was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than a standard box of goodies.
The box was 24 pounds, which was 1.5 times larger than",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
8,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","
Alexis spent $30 + $46 + $38 + $11 + $18 = $<<30+46+38+11+18=143>>143 on clothes.
Alexis has $16 left from her budget, so she spent $143 - $16 = $<<143-16=127>>127 on clothes and shoes.
Alexis paid $127 - $30 - $38 - $11 - $18 = $<<127-30-38-11-18=82>>82 for shoes.
Alexis paid $82 for the shoes.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
9,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","
It is a 5 day work week.
She works 10 hours per day, so she works 10*5 = <<10*5=50>>50 hours per week.
She is eligible for overtime because 50>8.
She makes $18*50 = $<<18*50=900>>900 per week.
She makes $900*1.5 = $<<900*1.5=1300>>1300 for overtime.
She makes a total of $900+$1300 = $<<900+1300=1900>>1900 per week.
She makes $1900/5 = $<<1900/5=380>>380 per day.
She makes $380*10 = $<<380*10=3800>>3800 per week.
She makes $3800/5 = $<<3800/5=780>>780 per day.
She makes $780*10 = $<<780*10=7800>>7800 per week.
She makes $7800/5 = $<<7800/5=1540>>1540 per day.
She makes $1540*10 = $<<1540*10=15440>>15440 per week.
She makes $15440/5 = $<<15440/5=3080>>3080 per day.
She makes $3080*10 = $<<3080*10=30840>>30840 per week.
She makes $30840/5 = $<<30840/5=6240>>6240 per day.
She makes $6240*10 = $<<6240*10=62400>>62400 per week.
She makes $62400/5 = $<<62400/5=12800>>12800 per day.
She makes $12800*10 = $<<12800*10=128000>>128000 per week.
She makes $128000/5 = $<<128000/5=26400>>26400 per day.
She makes $26400*10 = $<<26400*10=264000>>264000 per week.
She makes $264000/5 = $<<264000/5=52000>>52000 per day.
She makes $52000*10 = $<<52000*10=520400>>520400 per week.
She makes $520400/5",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-chat-gsm8k-ft-hf,train
